",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"108,Fabrizio Angileri,ar ARG,ZG,Getafe,es La Liga,29-023,1994,10,7,543,6.0,0,0,0,0,0,0,2,1,0.1,0.1,0.0,01,4,15,11,000,000,000,000,000,002,000,002,002,002,Partidas,fdd26d71"
"109,Jaidon Anthony,eng ENG,LTAT,Bournemouth,eng Premier League,23-127,1999,23,10,1.049,11.7,3,0,3,3,0,0,2,0,2.0,2.0,0.6,27,23,44,64,026,000,026,026,026,018,005,023,018,023,Partidas,e4238fb1"
"110,Janis Antiste,fr FRA,AT,Sassuolo,it Serie A,20-232,2002,2,0,52,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,02,0,1,2,173,000,173,173,173,031,000,031,031,031,Partidas,38d9ce53"
"111,Waldemar Anton,de GER,ZG,Stuttgart,de Bundesliga,26-261,1996,26,26,2.234,24.8,1,0,1,1,0,0,3,0,1.4,1.4,0.8,22,46,102,48,004,000,004,004,004,006,003,009,006,009,Partidas,5e66fa06"
"112,Marcos Antônio,br BRA,LT,Lazio,it Serie A,22-298,2000,11,3,311,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,14,3,000,000,000,000,000,000,000,000,000,000,Partidas,108fe016"
"113,Michail Antonio,jm JAM,AT,West Ham,eng Premier League,33-010,1990,25,13,1.217,13.5,3,2,5,3,0,0,2,0,3.7,3.7,1.1,48,28,20,80,022,015,037,022,037,027,008,036,027,036,Partidas,ac05f970"
"114,Antony,br BRA,AT,Manchester Utd,eng Premier League,23-042,2000,16,15,1.217,13.5,3,0,3,3,0,0,4,0,3.2,3.2,0.9,41,61,42,108,022,000,022,022,022,024,006,030,024,030,Partidas,99127249"
"115,Valentin Antov,bg BUL,ZG,Monza,it Serie A,22-149,2000,6,1,230,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,11,3,000,000,000,000,000,000,001,001,000,001,Partidas,8f68aa41"
"116,Christopher Antwi-Adjei,gh GHA,ATLT,Bochum,de Bundesliga,29-059,1994,21,14,1.306,14.5,2,6,8,2,0,0,0,0,2.0,2.0,3.2,52,42,18,154,014,041,055,014,055,014,022,036,014,036,Partidas,0a3f6cde"
"117,Anuar,ma MAR,LTAT,Valladolid,es La Liga,28-082,1995,3,3,210,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.4,08,6,3,4,043,000,043,043,043,015,019,034,015,034,Partidas,c93231dc"
"118,Houssem Aouar,fr FRA,LT,Lyon,fr Ligue 1,24-281,1998,12,6,467,5.2,1,1,2,1,0,0,2,0,1.1,1.1,0.3,14,12,33,32,019,019,039,019,039,021,006,026,021,026,Partidas,a5db0bec"
"119,Adil Aouchiche,fr FRA,LTAT,Lorient,fr Ligue 1,20-266,2002,9,0,132,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,05,9,13,12,000,000,000,000,000,027,004,031,027,031,Partidas,b94b8be1"
"120,Dennis Appiah,fr FRA,ZGLT,Nantes,fr Ligue 1,30-302,1992,15,9,795,8.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,06,15,39,51,000,000,000,000,000,005,002,006,005,006,Partidas,feb5d3ab"
"121,Stredair Appuah,fr FRA,LT,Nantes,fr Ligue 1,18-284,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,1,000,000,000,000,000,000,000,000,000,000,Partidas,42f0113f"
"122,Mauro Arambarri,uy URU,LT,Getafe,es La Liga,27-189,1995,10,10,826,9.2,0,1,1,0,0,0,4,1,0.2,0.2,1.5,17,8,30,7,000,011,011,000,011,002,016,019,002,019,Partidas,58afe001"
"123,Charles Aránguiz,cl CHI,LT,Leverkusen,de Bundesliga,33-355,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,05,3,32,7,018,000,018,018,018,006,004,010,006,010,Partidas,56413b1f"
"124,Ronald Araújo,uy URU,ZG,Barcelona,es La Liga,24-031,1999,15,14,1.198,13.3,0,2,2,0,0,0,5,1,1.3,1.3,0.5,19,22,47,8,000,015,015,000,015,010,004,014,010,014,Partidas,2bef2bca"
"125,Cameron Archer,eng ENG,ATLT,Aston Villa,eng Premier League,21-260,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,3,0,3,000,000,000,000,000,000,000,000,000,000,Partidas,05e8ca6d"
"126,Taïryk Arconte,fr FRA,AT,Brest,fr Ligue 1,19-146,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,04,1,1,8,000,000,000,000,000,019,010,029,019,029,Partidas,c5e6c017"
"127,Alphonse Areola,fr FRA,G,West Ham,eng Premier League,30-039,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,2f965a72"
"128,Joe Aribo,ng NGA,LTAT,Southampton,eng Premier League,26-260,1996,19,11,1.094,12.2,2,0,2,2,0,0,2,0,1.4,1.4,0.8,22,17,35,58,016,000,016,016,016,012,006,018,012,018,Partidas,328f7d51"
"129,Adam Armstrong,eng ENG,AT,Southampton,eng Premier League,26-056,1997,24,12,1.111,12.3,1,1,2,1,0,0,1,0,1.6,1.6,0.7,23,37,15,59,008,008,016,008,016,013,005,019,013,019,Partidas,68c720b5"
"130,Stuart Armstrong,sct SCO,LTAT,Southampton,eng Premier League,31-008,1992,24,11,1.073,11.9,1,0,1,1,0,0,5,0,1.6,1.6,1.7,33,44,60,65,008,000,008,008,008,013,015,028,013,028,Partidas,97333cf5"
"131,Marko Arnautović,at AUT,AT,Bologna,it Serie A,33-353,1989,16,14,1.231,13.7,8,0,8,5,3,3,5,0,5.7,3.3,1.7,50,11,28,87,058,000,058,037,037,041,013,054,024,037,Partidas,00459419"
"132,Maximilian Arnold,de GER,LT,Wolfsburg,de Bundesliga,28-315,1994,25,25,2.178,24.2,5,3,8,2,3,5,5,0,4.9,0.9,4.0,49,23,121,16,021,012,033,008,021,020,016,037,004,020,Partidas,86e119e0"
"133,Mohamed El Arouch,fr FRA,LT,Lyon,fr Ligue 1,19-001,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,508a9011"
"134,Sergio Arribas,es ESP,AT,Real Madrid,es La Liga,21-189,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,02,0,2,0,000,000,000,000,000,140,027,167,140,167,Partidas,1e465e70"
"135,Kepa Arrizabalaga,es ESP,G,Chelsea,eng Premier League,28-186,1994,21,21,1.845,20.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,28d596a0"
"136,Roberto Arroyo,es ESP,LT,Valladolid,es La Liga,19-225,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,4,000,000,000,000,000,000,000,000,000,000,Partidas,6091cf45"
"137,Tolgay Arslan,de GER,LT,Udinese,it Serie A,32-234,1990,27,11,945,10.5,1,0,1,1,0,0,1,0,1.6,1.6,1.1,27,36,59,32,010,000,010,010,010,015,011,026,015,026,Partidas,963a328b"
"138,Ricard Artero,es ESP,AT,Girona,es La Liga,20-061,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,5d133e96"
"139,Arthur,br BRA,AT,Fiorentina,it Serie A,24-347,1998,23,10,1.018,11.3,6,1,7,5,1,1,2,0,5.6,4.8,0.7,55,9,17,64,053,009,062,044,053,050,006,055,043,048,Partidas,a820e429"
"140,Santiago Arzamendia,py PAR,ZGLT,Cádiz,es La Liga,24-337,1998,9,4,389,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.5,07,7,11,17,000,000,000,000,000,005,011,015,005,015,Partidas,759d8dd7"
"141,Takuma Asano,jp JPN,ATLT,Bochum,de Bundesliga,28-148,1994,17,14,1.088,12.1,2,2,4,2,0,0,1,0,3.2,3.2,1.0,42,18,19,73,017,017,033,017,033,026,008,035,026,035,Partidas,13ddc856"
"142,Santiago Ascacíbar,ar ARG,LT,Cremonese,it Serie A,26-041,1997,13,7,727,8.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,08,1,41,6,000,000,000,000,000,005,005,010,005,010,Partidas,e26fcca3"
"143,Sergio Asenjo,es ESP,G,Valladolid,es La Liga,33-283,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,9f0ea33f"
"144,Marco Asensio,es ESP,ATLT,Real Madrid,es La Liga,27-076,1996,21,8,791,8.8,6,4,10,6,0,1,1,0,4.6,3.8,2.5,64,30,38,67,068,046,114,068,114,052,029,081,044,072,Partidas,45af8a54"
"145,Kristoffer Askildsen,no NOR,LT,Lecce,it Serie A,22-088,2001,18,6,622,6.9,0,0,0,0,0,0,3,0,0.4,0.4,0.3,07,9,21,16,000,000,000,000,000,006,004,011,006,011,Partidas,a69cc629"
"146,Fisnik Asllani,xk KVX,AT,Hoffenheim,de Bundesliga,20-242,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,1.7,1.7,0.2,18,4,1,19,000,000,000,000,000,088,010,098,088,098,Partidas,35f67a30"
"147,Kristjan Asllani,al ALB,LT,Inter,it Serie A,21-029,2002,13,2,307,3.4,0,0,0,0,0,0,2,0,0.2,0.2,0.3,06,3,12,3,000,000,000,000,000,007,010,017,007,017,Partidas,0fdcef0e"
"148,Iago Aspas,es ESP,AT,Celta Vigo,es La Liga,35-249,1987,27,25,2.284,25.4,12,3,15,10,2,3,5,0,10.0,7.7,4.8,124,67,115,187,047,012,059,039,051,040,019,058,030,049,Partidas,7dcf86f6"
"149,Lorenz Assignon,tg TOG,ZG,Rennes,fr Ligue 1,22-289,2000,6,2,194,2.2,0,1,1,0,0,0,2,0,0.3,0.3,0.3,06,4,7,8,000,046,046,000,046,015,014,029,015,029,Partidas,b026bbf6"
"150,Youcef Atal,dz ALG,ZGLT,Nice,fr Ligue 1,26-325,1996,13,7,637,7.1,1,0,1,1,0,0,1,0,0.9,0.9,1.2,20,30,32,45,014,000,014,014,014,012,017,029,012,029,Partidas,6a827d8e"
"151,Valentin Atangana Edoa,fr FRA,LT,Reims,fr Ligue 1,17-225,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,6b5edd5d"
"152,Pierre-Emerick Aubameyang,ga GAB,AT,Chelsea,eng Premier League,33-293,1989,12,4,441,4.9,1,0,1,1,0,0,1,0,0.7,0.7,0.3,10,7,3,22,020,000,020,020,020,014,007,021,014,021,Partidas,d5dd5f1f"
"153,Pierre-Emerick Aubameyang,ga GAB,AT,Barcelona,es La Liga,33-293,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,0,0,000,000,000,000,000,118,000,118,118,118,Partidas,d5dd5f1f"
"154,Emil Audero,it ITA,G,Sampdoria,it Serie A,26-079,1997,25,25,2.250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,649b01d8"
"155,Tommaso Augello,it ITA,ZG,Sampdoria,it Serie A,28-220,1994,27,25,2.164,24.0,2,2,4,2,0,0,1,0,0.5,0.5,1.8,23,60,84,109,008,008,017,008,017,002,007,009,002,009,Partidas,3cd3b384"
"156,Ludwig Augustinsson,se SWE,ZG,Aston Villa,eng Premier League,28-351,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,01,0,0,3,000,000,000,000,000,010,000,010,010,010,Partidas,9fec8860"
"157,Ludwig Augustinsson,se SWE,ZG,Mallorca,es La Liga,28-351,1994,3,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,3,6,000,000,000,000,000,000,002,002,000,002,Partidas,9fec8860"
"158,Serge Aurier,ci CIV,ZG,Nott'ham Forest,eng Premier League,30-104,1992,18,16,1.430,15.9,1,0,1,1,0,0,2,0,0.7,0.7,1.0,17,33,59,42,006,000,006,006,006,005,006,011,005,011,Partidas,5c2b4f07"
"159,Mathias Autret,fr FRA,LTAT,Auxerre,fr Ligue 1,32-037,1991,20,16,1.259,14.0,2,2,4,1,1,1,0,0,2.3,1.5,2.0,35,19,72,56,014,014,029,007,021,016,014,030,011,025,Partidas,7dfbba27"
"160,Ezequiel Ávila,ar ARG,ATLT,Osasuna,es La Liga,29-060,1994,23,20,1.465,16.3,7,2,9,5,2,3,7,1,6.0,3.7,1.6,53,19,33,84,043,012,055,031,043,037,010,047,022,033,Partidas,253a06b9"
"161,Cédric Avinel,gp GLP,ZG,Ajaccio,fr Ligue 1,36-208,1986,19,16,1.472,16.4,1,0,1,1,0,0,1,1,1.0,1.0,0.0,10,3,30,0,006,000,006,006,006,006,000,006,006,006,Partidas,a94d93be"
"162,Taiwo Awoniyi,ng NGA,AT,Nott'ham Forest,eng Premier League,25-238,1997,18,9,770,8.6,4,0,4,4,0,0,0,0,4.5,4.5,1.0,55,11,7,35,047,000,047,047,047,053,011,064,053,064,Partidas,e5478b87"
"163,Yasin Ayari,se SWE,LT,Brighton,eng Premier League,19-183,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,2,0,000,000,000,000,000,019,058,077,019,077,Partidas,f173303a"
"164,Mehmet Aydin,de GER,ZGAT,Schalke 04,de Bundesliga,21-057,2002,14,3,482,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.7,09,8,8,19,000,000,000,000,000,004,013,017,004,017,Partidas,fe46e261"
"165,André Ayew,gh GHA,ATLT,Nott'ham Forest,eng Premier League,33-111,1989,8,1,249,2.8,0,0,0,0,0,1,0,0,1.0,0.3,0.0,03,3,6,15,000,000,000,000,000,038,000,038,009,009,Partidas,5dbefa9d"
"166,Jordan Ayew,gh GHA,ATLT,Crystal Palace,eng Premier League,31-208,1991,29,22,1.923,21.4,1,2,3,1,0,0,3,0,1.4,1.4,2.5,39,55,46,116,005,009,014,005,014,007,012,018,007,018,Partidas,da052c14"
"167,Kaan Ayhan,tr TUR,ZG,Sassuolo,it Serie A,28-148,1994,10,5,545,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,8,15,0,000,000,000,000,000,000,000,000,000,000,Partidas,2200181e"
"168,Luke Ayling,eng ENG,ZG,Leeds United,eng Premier League,31-225,1991,22,15,1.424,15.8,1,1,2,1,0,0,2,0,1.9,1.9,1.5,34,17,56,58,006,006,013,006,013,012,009,021,012,021,Partidas,420d7c7d"
"169,Ayman Azhil,ma MAR,LT,Leverkusen,de Bundesliga,21-362,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,ce81d82d"
"170,Sardar Azmoun,ir IRN,ATLT,Leverkusen,de Bundesliga,28-096,1995,15,5,582,6.5,3,1,4,3,0,0,1,0,2.5,2.5,2.3,47,5,27,39,046,015,062,046,062,038,035,073,038,073,Partidas,10549b49"
"171,César Azpilicueta,es ESP,ZG,Chelsea,eng Premier League,33-222,1989,19,11,1.106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1.0,13,17,59,60,000,000,000,000,000,003,008,011,003,011,Partidas,53cad200"
"172,Sanoussy Ba,de GER,ZG,RB Leipzig,de Bundesliga,19-092,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,f582d5c1"
"173,Iddrisu Baba,gh GHA,LT,Mallorca,es La Liga,27-075,1996,20,15,1.231,13.7,0,0,0,0,0,0,5,0,0.4,0.4,0.2,07,3,36,6,000,000,000,000,000,003,002,005,003,005,Partidas,bfd381b3"
"174,Srđan Babić,rs SRB,ZG,Almería,es La Liga,26-350,1996,24,23,2.115,23.5,2,0,2,2,0,0,3,0,0.9,0.9,0.2,11,17,47,4,009,000,009,009,009,004,001,005,004,005,Partidas,075fe5a3"
"175,Loïc Bade,fr FRA,ZG,Sevilla,es La Liga,22-361,2000,9,8,718,8.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,02,5,27,2,000,000,000,000,000,001,001,002,001,002,Partidas,114bbdee"
"176,Loïc Bade,fr FRA,ZG,Rennes,fr Ligue 1,22-361,2000,1,1,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,03,0,3,0,000,100,100,000,100,020,006,026,020,026,Partidas,114bbdee"
"177,Édgar Badía,es ESP,G,Elche,es La Liga,31-054,1992,27,27,2.430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,e4346678"
"178,Benoît Badiashile,fr FRA,ZG,Chelsea,eng Premier League,22-012,2001,8,7,635,7.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,13,9,43,1,000,000,000,000,000,012,007,018,012,018,Partidas,06df8256"
"179,Benoît Badiashile,fr FRA,ZG,Monaco,fr Ligue 1,22-012,2001,11,9,839,9.3,2,0,2,2,0,0,3,0,0.6,0.6,0.4,10,3,39,0,021,000,021,021,021,007,004,011,007,011,Partidas,06df8256"
"180,Alex Baena,es ESP,LTAT,Villarreal,es La Liga,21-261,2001,24,13,1.378,15.3,4,1,5,4,0,0,12,1,2.4,2.4,4.5,69,36,79,77,026,007,033,026,033,016,029,045,016,045,Partidas,518f2234"
"181,Jaime Báez,uy URU,ZG,Cremonese,it Serie A,27-347,1995,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,03,5,4,8,000,000,000,000,000,012,012,024,012,024,Partidas,dfd24c07"
"182,Leon Bailey,jm JAM,ATLT,Aston Villa,eng Premier League,25-241,1997,28,22,1.708,19.0,4,3,7,4,0,0,4,0,4.9,4.9,3.4,82,75,26,165,021,016,037,021,037,026,018,043,026,043,Partidas,3a233281"
"183,Eric Bailly,ci CIV,ZG,Marseille,fr Ligue 1,28-360,1994,11,4,433,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,02,3,6,3,000,000,000,000,000,004,000,004,004,004,Partidas,a1232f4e"
"184,Dénys Bain,fr FRA,ZG,Auxerre,fr Ligue 1,29-279,1993,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,3,0,000,000,000,000,000,000,000,000,000,000,Partidas,5065d67d"
"185,Brandon Baiye,be BEL,LT,Clermont Foot,fr Ligue 1,22-101,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,2,0,000,000,000,000,000,000,021,021,000,021,Partidas,7e3e825e"
"186,Stefan Bajcetic,es ESP,LT,Liverpool,eng Premier League,18-167,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,12,10,24,1,017,000,017,017,017,013,006,020,013,020,Partidas,32e8417f"
"187,Nedim Bajrami,al ALB,LTAT,Empoli,it Serie A,24-038,1999,19,8,940,10.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,24,22,29,47,010,010,019,010,019,012,011,023,012,023,Partidas,f42d6c13"
"188,Nedim Bajrami,al ALB,AT,Sassuolo,it Serie A,24-038,1999,8,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.5,19,9,16,28,027,000,027,027,027,038,014,052,038,052,Partidas,f42d6c13"
"189,Cédric Bakambu,cd COD,LT,Marseille,fr Ligue 1,31-361,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,10,1,0,4,000,153,153,000,153,000,156,156,000,156,Partidas,0af4dcf0"
"190,Tiemoué Bakayoko,fr FRA,LT,Milan,it Serie A,28-233,1994,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,2,1,000,000,000,000,000,000,000,000,000,000,Partidas,59bf127b"
"191,Mitchel Bakker,nl NED,ZGLT,Leverkusen,de Bundesliga,22-291,2000,21,13,1.163,12.9,3,2,5,3,0,0,4,1,1.4,1.4,1.7,31,20,45,52,023,015,039,023,039,011,013,024,011,024,Partidas,a8567629"
"192,Ridle Baku,de GER,ZG,Wolfsburg,de Bundesliga,24-364,1998,26,23,2.075,23.1,5,1,6,5,0,0,5,0,2.5,2.5,3.3,58,42,109,118,022,004,026,022,026,011,014,025,011,025,Partidas,442b56fa"
"193,Tommaso Baldanzi,it ITA,LT,Empoli,it Serie A,20-015,2003,19,17,1.229,13.7,4,0,4,4,0,0,1,0,1.6,1.6,0.9,25,40,55,61,029,000,029,029,029,011,007,018,011,018,Partidas,102e2599"
"194,Alejandro Balde,es ESP,ZG,Barcelona,es La Liga,19-171,2003,23,20,1.660,18.4,0,5,5,0,0,0,3,0,0.4,0.4,3.5,40,60,53,144,000,027,027,000,027,002,019,021,002,021,Partidas,5ccc9672"
"195,Thierno Balde,fr FRA,ZG,Troyes,fr Ligue 1,20-301,2002,24,20,1.707,19.0,0,0,0,0,0,0,1,0,0.3,0.3,0.9,13,48,51,90,000,000,000,000,000,002,005,007,002,007,Partidas,3975195f"
"196,Carlos Baleba,cm CMR,LT,Lille,fr Ligue 1,19-094,2004,13,3,288,3.2,0,0,0,0,0,0,2,1,0.3,0.3,0.1,03,12,21,6,000,000,000,000,000,008,003,010,008,010,Partidas,a1390d2f"
"197,Mikel Balenziaga,es ESP,ZG,Athletic Club,es La Liga,35-037,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,7,6,000,000,000,000,000,002,000,002,002,002,Partidas,1fe67e86"
"198,Leonardo Balerdi,ar ARG,ZG,Marseille,fr Ligue 1,24-071,1999,27,24,2.063,22.9,0,1,1,0,0,0,5,1,0.5,0.5,0.1,07,11,71,13,000,004,004,000,004,002,001,003,002,003,Partidas,7c3ed041"
"199,Iván Balliu,al ALB,ZG,Rayo Vallecano,es La Liga,31-096,1992,26,26,2.271,25.2,0,0,0,0,0,0,6,0,0.3,0.3,2.3,26,54,100,101,000,000,000,000,000,001,009,010,001,010,Partidas,cee88597"
"200,Fodé Ballo-Touré,sn SEN,ZG,Milan,it Serie A,26-094,1997,4,3,286,3.2,1,0,1,1,0,0,0,0,0.4,0.4,0.1,05,8,13,21,031,000,031,031,031,014,002,016,014,016,Partidas,f449640d"
"201,Folarin Balogun,eng ENG,AT,Reims,fr Ligue 1,21-278,2001,28,25,2.196,24.4,17,2,19,13,4,5,3,0,19.4,15.3,2.7,180,41,42,210,070,008,078,053,061,079,011,090,063,074,Partidas,31822f8c"
"202,Abdoulaye Bamba,ci CIV,ZG,Angers,fr Ligue 1,32-347,1990,12,5,669,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,03,6,23,11,000,000,000,000,000,000,004,004,000,004,Partidas,7fecbcdb"
"203,Jonathan Bamba,fr FRA,AT,Lille,fr Ligue 1,27-012,1996,25,23,2.066,23.0,5,5,10,5,0,0,5,0,6.3,6.3,5.0,113,85,120,252,022,022,044,022,044,027,022,049,027,049,Partidas,b2bd0f6c"
"204,Patrick Bamford,eng ENG,AT,Leeds United,eng Premier League,29-214,1993,21,12,1.051,11.7,2,2,4,2,0,1,2,0,6.3,5.5,0.9,64,13,19,75,017,017,034,017,034,054,007,061,047,054,Partidas,93feac6e"
"205,Lameck Banda,zm ZAM,ATLT,Lecce,it Serie A,22-068,2001,27,14,1.225,13.6,1,1,2,1,0,0,4,0,1.8,1.8,1.0,28,55,19,118,007,007,015,007,015,013,007,020,013,020,Partidas,8a6de8c7"
"206,Filippo Bandinelli,it ITA,LT,Empoli,it Serie A,28-009,1995,27,22,1.819,20.2,2,0,2,2,0,0,7,0,1.6,1.6,2.3,39,30,81,76,010,000,010,010,010,008,011,019,008,019,Partidas,d44360be"
"207,Léo Baptistão,br BRA,ATLT,Almería,es La Liga,30-224,1992,22,18,1.304,14.5,3,1,4,3,0,0,7,0,3.4,3.4,1.1,45,30,39,62,021,007,028,021,028,024,007,031,024,031,Partidas,35f6db55"
"208,Shandon Baptiste,gd GRN,LT,Brentford,eng Premier League,24-364,1998,15,4,483,5.4,0,0,0,0,0,0,3,1,0.3,0.3,0.8,10,8,35,21,000,000,000,000,000,006,014,020,006,020,Partidas,2886c9b5"
"209,Antonín Barák,cz CZE,LT,Hellas Verona,it Serie A,28-125,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,2,1,000,000,000,000,000,000,000,000,000,000,Partidas,01efac19"
"210,Antonín Barák,cz CZE,LT,Fiorentina,it Serie A,28-125,1994,23,15,1.333,14.8,2,0,2,2,0,0,3,0,1.9,1.9,1.5,33,33,66,76,014,000,014,014,014,013,010,022,013,022,Partidas,01efac19"
"211,Andrea Barberis,it ITA,LT,Monza,it Serie A,29-117,1993,8,3,327,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.3,04,3,13,0,000,028,028,000,028,003,009,011,003,011,Partidas,32ebfe1e"
"212,Bradley Barcola,fr FRA,ATLT,Lyon,fr Ligue 1,20-217,2002,19,8,845,9.4,4,3,7,4,0,0,2,0,2.5,2.5,1.9,44,31,26,95,043,032,075,043,075,027,020,047,027,047,Partidas,a0d55a09"
"213,Melvin Bard,fr FRA,ZG,Nice,fr Ligue 1,22-152,2000,24,20,1.804,20.0,0,0,0,0,0,0,5,0,0.4,0.4,0.7,10,38,64,86,000,000,000,000,000,002,003,005,002,005,Partidas,1ddbc7ca"
"214,Francesco Bardi,it ITA,G,Bologna,it Serie A,31-079,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,0acda699"
"215,Keidi Bare,al ALB,LT,Espanyol,es La Liga,25-222,1997,12,3,335,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,07,4,15,6,000,000,000,000,000,013,005,018,013,018,Partidas,03049c8c"
"216,Nicolò Barella,it ITA,LT,Inter,it Serie A,26-059,1997,27,25,2.100,23.3,5,6,11,5,0,0,5,0,2.7,2.7,4.9,76,63,161,139,021,026,047,021,047,011,021,032,011,032,Partidas,6928979a"
"217,Kike Barja,es ESP,ATLT,Osasuna,es La Liga,26-006,1997,17,8,729,8.1,1,2,3,1,0,0,1,0,0.3,0.3,1.6,19,40,22,110,012,025,037,012,037,004,020,024,004,024,Partidas,aad53e64"
"218,Ross Barkley,eng ENG,LTAT,Nice,fr Ligue 1,29-123,1993,20,7,710,7.9,3,2,5,3,0,0,1,0,3.4,3.4,1.2,46,18,29,36,038,025,063,038,063,045,016,061,045,061,Partidas,3a24769f"
"219,Aymen Barkok,ma MAR,LT,Mainz 05,de Bundesliga,24-321,1998,17,2,412,4.6,0,1,1,0,0,0,1,0,0.4,0.4,0.3,08,11,27,23,000,022,022,000,022,009,007,017,009,017,Partidas,a2a85828"
